"EHSx","CHSx","WHSx","ESx","CSx","WSx","ECx","CCx","WCx","EHx","CHx","WHx","EHSy","CHSy","WHSy","ESy","CSy","WSy","ECy","CCy","WCy","EHy","CHy","WHy"
147.791666666667,147.791666666667,147.791666666667,147.791666666667,147.791666666667,147.791666666667,147.791666666667,147.833333333333,147.75,147.833333333333,147.791666666667,147.958333333333,10.4,9.1,9.3,8.3,8.5,7.6,6.3,5.7,5.3,5.8,6.8,3.2
148.75,148.791666666667,148.791666666667,148.75,148.791666666667,148.75,148.833333333333,148.75,148.958333333333,148.75,148.958333333333,148.916666666667,7,7.5,6.5,8.5,7.8,8,5.6,6.2,4.3,5.7,5.3,5.2
149.875,149.916666666667,149.875,149.875,149.875,149.833333333333,149.916666666667,149.875,149.875,149.958333333333,149.958333333333,149.916666666667,9.2,9.3,8.5,12,9.9,10.1,8.2,8.9,6.8,7.9,7.2,6.8
150.833333333333,150.833333333333,150.833333333333,150.833333333333,150.833333333333,150.791666666667,150.833333333333,150.833333333333,150.916666666667,150.916666666667,150.958333333333,150.958333333333,7,7,6.5,7.8,7.2,7.4,6.3,6.4,5.2,6,5.7,5.4
151.833333333333,151.791666666667,151.75,151.791666666667,151.791666666667,151.75,151.791666666667,151.833333333333,151.875,151.916666666667,151.916666666667,151.875,7,7.1,6.5,8.2,7.4,7.6,6.7,6.9,5.7,6.2,5.9,5.6
152.958333333333,152.916666666667,152.958333333333,152.875,152.875,152.875,152.916666666667,152.916666666667,152.916666666667,152.958333333333,152.958333333333,152.958333333333,9,9.7,8.9,11.7,10.3,10.6,9.5,9.7,8,8.5,8.1,7.8
153.916666666667,153.875,153.875,153.875,153.875,153.833333333333,153.916666666667,153.833333333333,153.916666666667,153.958333333333,153.916666666667,153.916666666667,10.9,11.8,10.6,14.1,11.7,12.2,10.9,11.7,9.8,10.5,9.8,9.9
154.833333333333,154.833333333333,154.916666666667,154.833333333333,154.875,154.833333333333,154.875,154.833333333333,154.875,154.875,154.875,154.833333333333,10.3,10.8,10.1,12.4,10.6,11,9.9,10.6,9.1,9.7,9.2,9.2
155.916666666667,155.916666666667,155.916666666667,155.875,155.875,155.875,155.916666666667,155.875,155.875,155.916666666667,155.916666666667,155.916666666667,10.8,11.2,10.3,13.6,11.4,11.8,10.5,11.3,9.4,10.3,9.6,9.3
156.875,156.875,156.916666666667,156.875,156.875,156.875,156.875,156.875,156.875,156.916666666667,156.916666666667,156.875,11.9,12.3,11.4,14.9,12.4,12.8,11.5,12.4,10.4,11.5,10.7,10.7
