"EHSx","CHSx","WHSx","ESx","CSx","WSx","ECx","CCx","WCx","EHx","CHx","WHx","EHSy","CHSy","WHSy","ESy","CSy","WSy","ECy","CCy","WCy","EHy","CHy","WHy"
147.458333333333,147.458333333333,147.458333333333,147.5,147.458333333333,147.5,147.458333333333,147.5,147.5,147.458333333333,147.458333333333,147.458333333333,6.9,6.5,6.8,6.7,6.6,5.9,4.6,4.1,4.1,3,4,1.1
148.416666666667,148.416666666667,148.583333333333,148.416666666667,148.416666666667,148.416666666667,148.416666666667,148.416666666667,148.583333333333,148.416666666667,148.333333333333,148.291666666667,5.8,5.8,5.8,5.9,5.9,5.2,4.3,4,3,3.6,4.1,2.5
149.416666666667,149.416666666667,149.416666666667,149.458333333333,149.458333333333,149.375,149.416666666667,149.416666666667,149.416666666667,149.458333333333,149.416666666667,149.416666666667,5.4,5.7,4.9,5,5.1,5.4,3.6,3.7,2.9,4.2,4.1,4.1
150.625,150.625,150.625,150.625,150.625,150.625,150.625,150.625,150.625,150.625,150.625,150.625,6.4,6.5,5.7,6.7,6.3,6.5,5.3,5.3,4.4,5.5,5.3,5
151.458333333333,151.458333333333,151.458333333333,151.458333333333,151.458333333333,151.416666666667,151.458333333333,151.458333333333,151.458333333333,151.458333333333,151.541666666667,151.5,5.5,5.5,5,5.3,5.3,5.5,4.6,4.4,3.9,4.8,4.7,4.4
152.416666666667,152.375,152.375,152.375,152.416666666667,152.375,152.416666666667,152.375,152.416666666667,152.416666666667,152.458333333333,152.375,5,5.2,4.7,4.6,4.9,5.1,4.4,4.2,3.9,4.4,4.4,4.2
153.458333333333,153.416666666667,153.416666666667,153.416666666667,153.416666666667,153.416666666667,153.416666666667,153.416666666667,153.416666666667,153.416666666667,153.416666666667,153.416666666667,6.8,7.2,6.6,6.8,6.6,6.9,6.3,6.1,5.5,6.5,6.5,6.2
154.458333333333,154.458333333333,154.458333333333,154.458333333333,154.458333333333,154.416666666667,154.458333333333,154.416666666667,154.458333333333,154.5,154.541666666667,154.5,8.5,8.9,8,8.8,8,8.3,7.7,7.7,7.1,8.2,7.9,8
155.5,155.416666666667,155.541666666667,155.458333333333,155.458333333333,155.458333333333,155.458333333333,155.416666666667,155.458333333333,155.458333333333,155.5,155.458333333333,7.3,7.7,6.4,6.9,6.7,6.7,6.3,6.3,6,7,6.9,6.9
156.458333333333,156.458333333333,156.458333333333,156.458333333333,156.458333333333,156.416666666667,156.458333333333,156.416666666667,156.458333333333,156.458333333333,156.5,156.458333333333,7.8,8.1,7.4,7.9,7.3,7.4,6.8,6.9,6.2,7.6,7.5,7.2
157.458333333333,157.416666666667,157.458333333333,157.458333333333,157.458333333333,157.416666666667,157.458333333333,157.416666666667,157.458333333333,157.458333333333,157.458333333333,157.458333333333,9.2,9.4,8.7,9.8,8.7,8.9,8.3,8.5,7.8,9.1,8.7,8.7
158.458333333333,158.458333333333,158.458333333333,158.458333333333,158.458333333333,158.416666666667,158.458333333333,158.416666666667,158.458333333333,158.458333333333,158.5,158.458333333333,10.8,11,10,11.3,10.1,10.4,9.7,10,9,10.5,10,10.1
159.5,159.5,159.458333333333,159.458333333333,159.5,159.458333333333,159.5,159.458333333333,159.5,159.5,159.541666666667,159.5,10.6,10.5,9.7,10.7,10,10.4,9.9,10,9.3,10,9.6,9.8
160.458333333333,160.416666666667,160.458333333333,160.416666666667,160.416666666667,160.416666666667,160.458333333333,160.416666666667,160.458333333333,160.458333333333,160.458333333333,160.458333333333,9.3,9.5,8.9,9.1,8.9,9.3,8.9,8.8,8.4,9,8.8,8.9
161.541666666667,161.625,161.541666666667,161.541666666667,161.583333333333,161.416666666667,161.583333333333,161.416666666667,161.583333333333,161.583333333333,161.708333333333,161.583333333333,9.1,9.6,8.9,9,8.9,9.4,8.8,8.9,8.5,9,8.8,8.9
162.416666666667,162.416666666667,162.416666666667,162.416666666667,162.416666666667,162.416666666667,162.416666666667,162.416666666667,162.416666666667,162.416666666667,162.416666666667,162.416666666667,8.4,8.9,8.4,8.4,8.4,8.7,8.3,8.3,7.8,8.4,8.3,8.2
163.416666666667,163.416666666667,163.416666666667,163.416666666667,163.416666666667,163.416666666667,163.416666666667,163.416666666667,163.416666666667,163.416666666667,163.458333333333,163.416666666667,9.7,10.1,9.4,9.9,9.6,9.8,9.4,9.4,8.8,9.7,9.5,9.2
164.583333333333,164.583333333333,164.458333333333,164.458333333333,164.416666666667,164.416666666667,164.416666666667,164.458333333333,164.458333333333,164.625,164.625,164.625,10.5,10.7,10.2,11.2,10.6,10.8,10.5,10.5,9.8,10.4,10.2,9.9
165.416666666667,165.416666666667,165.375,165.416666666667,165.416666666667,165.375,165.416666666667,165.416666666667,165.416666666667,165.416666666667,165.458333333333,165.416666666667,9.8,10,9.6,9.6,9.5,9.8,9.5,9.4,9,9.7,9.6,9.2
166.375,166.416666666667,166.375,166.375,166.375,166.375,166.416666666667,166.375,166.375,166.416666666667,166.458333333333,166.375,9.5,9.8,9.4,9.5,9.5,9.8,9.4,9.4,9.1,9.4,9.3,9.2
167.458333333333,167.416666666667,167.416666666667,167.416666666667,167.416666666667,167.416666666667,167.416666666667,167.416666666667,167.416666666667,167.458333333333,167.458333333333,167.416666666667,10.3,10.9,10.3,10.3,10.2,10.4,10,10,9.6,10.4,10.4,9.9
168.5,168.458333333333,168.416666666667,168.416666666667,168.458333333333,168.416666666667,168.416666666667,168.416666666667,168.541666666667,168.5,168.541666666667,168.541666666667,11.2,11.7,11.1,11.9,11.1,11.4,10.9,11.1,10.3,11.3,11.1,10.9
169.5,169.458333333333,169.458333333333,169.458333333333,169.416666666667,169.416666666667,169.5,169.375,169.541666666667,169.5,169.541666666667,169.5,9.8,10.2,9.6,9.9,9.6,9.8,9.4,9.6,9.1,9.9,9.7,9.7
170.416666666667,170.416666666667,170.416666666667,170.416666666667,170.416666666667,170.375,170.416666666667,170.416666666667,170.416666666667,170.416666666667,170.458333333333,170.416666666667,8.8,9.3,8.9,8.5,8.5,8.6,8,8.3,8,9.1,8.9,9
171.5,171.5,171.458333333333,171.5,171.458333333333,171.458333333333,171.5,171.458333333333,171.5,171.541666666667,171.541666666667,171.541666666667,9.9,10.5,9.9,10.7,10,10.4,9.8,10.2,9.5,10.2,9.8,10
