"Day","EHS_25cm_M","CHS_25cm_M","WHS_25cm_M","ES_25cm_M","CS_25cm_M","WS_25cm_M","EC_25cm_M","CC_25cm_M","WC_25cm_M","EH_25cm_M","CH_25cm_M","WH_25cm_M"
147.416666666667,0.22,0.189,0.172,0.248,0.187,0.19,0.151,0.3,0.3,0.272,0.252,0.257
147.458333333333,0.22,0.189,0.172,0.248,0.187,0.19,0.242,0.3,0.3,0.272,0.252,0.258
147.5,0.22,0.189,0.172,0.248,0.187,0.191,0.242,0.3,0.3,0.272,0.251,0.261
147.541666666667,0.22,0.19,0.172,0.248,0.187,0.191,0.242,0.3,0.3,0.272,0.251,0.264
147.583333333333,0.22,0.19,0.172,0.248,0.187,0.191,0.242,0.3,0.3,0.272,0.251,0.265
147.625,0.22,0.189,0.172,0.248,0.188,0.191,0.242,0.3,0.3,0.271,0.251,0.264
147.666666666667,0.22,0.189,0.171,0.248,0.188,0.191,0.242,0.299,0.299,0.271,0.251,0.263
147.708333333333,0.22,0.189,0.171,0.248,0.188,0.191,0.242,0.299,0.299,0.27,0.251,0.262
147.75,0.22,0.189,0.171,0.248,0.188,0.191,0.242,0.299,0.299,0.269,0.251,0.261
147.791666666667,0.22,0.189,0.171,0.247,0.188,0.191,0.242,0.298,0.298,0.268,0.25,0.26
147.833333333333,0.22,0.188,0.17,0.247,0.187,0.191,0.242,0.298,0.298,0.268,0.25,0.258
147.875,0.219,0.188,0.17,0.246,0.187,0.19,0.242,0.298,0.298,0.267,0.25,0.258
147.916666666667,0.219,0.187,0.169,0.246,0.187,0.189,0.241,0.297,0.297,0.266,0.249,0.256
147.958333333333,0.218,0.186,0.169,0.246,0.186,0.189,0.241,0.297,0.297,0.266,0.249,0.256
148,0.218,0.185,0.169,0.246,0.186,0.189,0.24,0.297,0.297,0.265,0.249,0.255
148.041666666667,0.217,0.185,0.168,0.246,0.186,0.188,0.24,0.296,0.296,0.265,0.248,0.254
148.083333333333,0.217,0.184,0.168,0.245,0.186,0.188,0.24,0.296,0.296,0.264,0.248,0.253
148.125,0.217,0.184,0.168,0.245,0.185,0.188,0.239,0.296,0.296,0.264,0.248,0.252
148.166666666667,0.216,0.183,0.168,0.245,0.185,0.187,0.239,0.296,0.296,0.264,0.248,0.251
148.208333333333,0.216,0.183,0.168,0.245,0.184,0.187,0.239,0.295,0.295,0.264,0.247,0.25
148.25,0.216,0.182,0.167,0.245,0.184,0.187,0.239,0.295,0.295,0.264,0.247,0.249
148.291666666667,0.215,0.182,0.167,0.245,0.184,0.187,0.238,0.294,0.294,0.263,0.246,0.248
148.333333333333,0.215,0.181,0.167,0.244,0.184,0.186,0.238,0.294,0.294,0.263,0.246,0.247
